Zone Identifier;Source Identifier;Company Code;Posting Date;Financial Period;GCOA Account;Local Account;Cost Center;Cognos Account;Cognos Dimension;Measure Code;Currency;Amount
"MEX";"Budget";"3006";"";"2016M05";"6303505";"60000045";"210C680090";"404001";"SM00";"BUDGET";"MXN";29.58000
"MEX";"Budget";"3006";"";"2016M11";"6103006";"60001006";"210C670070";"403001";"SM00";"BUDGET";"MXN";838.00000
"MEX";"Budget";"3008";"";"2016M06";"6105524";"60000633";"210C7300C0";"405301";"SM00";"BUDGET";"MXN";4395.98000
"MEX";"Budget";"3009";"";"2016M02";"6300000";"60000001";"210C820050";"405102";"SM00";"BUDGET";"MXN";574805.19000
"MEX";"Budget";"3009";"";"2016M08";"6300000";"60000020";"210C870070";"403001";"SM00";"BUDGET";"MXN";1603.69000
"MEX";"Budget";"3010";"";"2016M02";"6300000";"60000039";"210C920050";"405102";"SM00";"BUDGET";"MXN";2294.30000
"MEX";"Budget";"3010";"";"2016M07";"6300005";"60000007";"210C9300C0";"405301";"SM00";"BUDGET";"MXN";51695.54000
"MEX";"Budget";"3011";"";"2016M01";"5335003";"41000906";"210CAA0080";"404000";"SM00";"BUDGET";"MXN";-22199.14000
"MEX";"Budget";"3011";"";"2016M04";"6201026";"60003048";"210CA20050";"405102";"SM00";"BUDGET";"MXN";44935.11000
"MEX";"Budget";"3011";"";"2016M07";"6303505";"60000046";"210CA20050";"405102";"SM00";"BUDGET";"MXN";3049.15000
"MEX";"Budget";"3011";"";"2016M11";"6201004";"60000508";"210CA300C0";"405301";"SM00";"BUDGET";"MXN";559059.10000
"MEX";"Budget";"3012";"";"2016M04";"6450000";"60004105";"210CBA0080";"404090";"SM00";"BUDGET";"MXN";22021.78000
"MEX";"Budget";"3012";"";"2016M12";"6103002";"60001004";"210CB300C0";"405301";"SM00";"BUDGET";"MXN";3058.50000
"MEX";"Budget";"3013";"";"2016M05";"6103015";"60001013";"210CC20050";"405102";"SM00";"BUDGET";"MXN";1105.20000
"MEX";"Budget";"3013";"";"2016M09";"6302006";"60000033";"210CC20050";"405102";"SM00";"BUDGET";"MXN";19368.95000
"MEX";"Budget";"3014";"";"2016M03";"6300000";"60000043";"210CD300C0";"405301";"SM00";"BUDGET";"MXN";260.92000
"MEX";"Budget";"3014";"";"2016M12";"6200562";"60001400";"210CD20050";"405102";"SM00";"BUDGET";"MXN";25730.28000
"MEX";"Budget";"3015";"";"2016M06";"6302001";"60003013";"210CE70070";"403001";"SM00";"BUDGET";"MXN";2297.57000
"MEX";"Budget";"3016";"";"2016M01";"6103015";"60004404";"210CF300C0";"405301";"SM00";"BUDGET";"MXN";5000.00000
"MEX";"Budget";"3016";"";"2016M06";"6200559";"60001600";"220CF21350";"405102";"SM01";"BUDGET";"MXN";3437.67000
"MEX";"Budget";"3016";"";"2016M11";"6106006";"60003152";"210CF300C0";"405301";"SM00";"BUDGET";"MXN";125017.18000
"MEX";"Budget";"3017";"";"2016M04";"6300000";"60000021";"210CG300C0";"405301";"SM00";"BUDGET";"MXN";19988.66000
"MEX";"Budget";"3017";"";"2016M09";"6300005";"60000007";"210CGA0090";"404001";"SM00";"BUDGET";"MXN";1443349.35000
"MEX";"Budget";"3018";"";"2016M02";"6300500";"60000022";"210CH70070";"403001";"SM00";"BUDGET";"MXN";286.26000
"MEX";"Budget";"3018";"";"2016M07";"6300000";"60000001";"210CH300C0";"405301";"SM00";"BUDGET";"MXN";1371824.31000
"MEX";"Budget";"3018";"";"2016M12";"6200559";"60001700";"220CH20650";"405102";"SM01";"BUDGET";"MXN";2676.04000
"MEX";"Budget";"3019";"";"2016M05";"6104658";"60001041";"210CIA0080";"404000";"SM00";"BUDGET";"MXN";129924.43000
"MEX";"Budget";"3019";"";"2016M10";"6025006";"60000233";"210CI20050";"405102";"SM00";"BUDGET";"MXN";22537.02000
"MEX";"Budget";"3020";"";"2016M04";"6104501";"60004312";"210CJA0080";"404000";"SM00";"BUDGET";"MXN";1447054.72000
"MEX";"Budget";"3021";"";"2016M01";"6025023";"60000230";"210CK300C0";"405301";"SM00";"BUDGET";"MXN";37792.15000
"MEX";"Budget";"3021";"";"2016M11";"6200559";"60001300";"210CK20050";"405102";"SM00";"BUDGET";"MXN";19994.20000
"MEX";"Budget";"3022";"";"2016M08";"6104627";"60005007";"210CLA0080";"404000";"SM00";"BUDGET";"MXN";69435.39000
"MEX";"Budget";"3023";"";"2016M03";"6200559";"60001700";"220CM20150";"405102";"SM01";"BUDGET";"MXN";736.44000
"MEX";"Budget";"3023";"";"2016M09";"6200555";"60000800";"210CM300C0";"405301";"SM00";"BUDGET";"MXN";9151.00000
"MEX";"Budget";"3024";"";"2016M03";"6300005";"60000007";"210CN20050";"405102";"SM00";"BUDGET";"MXN";13800.49000
"MEX";"Budget";"3024";"";"2016M10";"6025023";"60000230";"210CN300C0";"405301";"SM00";"BUDGET";"MXN";10724.00000
"MEX";"Budget";"3025";"";"2016M05";"6300000";"60000001";"210CO300C0";"405301";"SM00";"BUDGET";"MXN";815041.81000
"MEX";"Budget";"3026";"";"2016M02";"6103015";"60001013";"210CP80090";"404001";"SM00";"BUDGET";"MXN";1600.00000
"MEX";"Budget";"3026";"";"2016M12";"6200559";"60001600";"220CP20050";"405102";"SM01";"BUDGET";"MXN";3446.23000
"MEX";"Budget";"3027";"";"2016M08";"5305002";"41002705";"";"405518";"SM00";"BUDGET";"MXN";-24472.56000
"MEX";"Budget";"3028";"";"2016M03";"6103002";"60001003";"210CR20050";"405102";"SM00";"BUDGET";"MXN";1726.80000
"MEX";"Budget";"3028";"";"2016M09";"6103015";"60001013";"210CR70070";"403001";"SM00";"BUDGET";"MXN";22.50000
"MEX";"Budget";"3029";"";"2016M04";"6201007";"60000525";"210CSA0090";"404001";"SM00";"BUDGET";"MXN";9659.89000
"MEX";"Budget";"3031";"";"2016M01";"6201025";"60000308";"210CU20050";"405102";"SM00";"BUDGET";"MXN";7956.50000
"MEX";"Budget";"3031";"";"2016M11";"6104510";"60000817";"210CUA0080";"404000";"SM00";"BUDGET";"MXN";128664.00000
